,Country,2022,2023,Code_x,Code_y,EU Member,GMP,APAC,OECD,AME,G20,G7
0,China,21029.38,19370.06,CHN,CHN,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,Russia,4477.52,4236.63,RUS,,,,,,,,
2,India,2759.11,3042.3,IND,IND,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,United States,2019.53,1975.1699999999998,USA,USA,0.0,0.0,0.0,1.0,0.0,1.0,1.0
4,Indonesia,3936.39,1850.4,IDN,IDN,0.0,1.0,1.0,0.0,0.0,1.0,0.0
5,Australia,1673.47,1668.0,AUS,AUS,0.0,1.0,1.0,1.0,0.0,1.0,0.0
6,South Africa,1130.8799999999999,1568.79,ZAF,ZAF,0.0,0.0,0.0,0.0,1.0,1.0,0.0
7,Other,891.01,1568.69,,,,,,,,,
8,Kazakhstan,808.51,1036.71,KAZ,KAZ,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Mongolia,214.81,704.26,MNG,MNG,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,Poland,715.55,696.64,POL,POL,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,Vietnam,15.1,556.85,VNM,VNM,0.0,1.0,1.0,0.0,0.0,0.0,0.0
12,Ukraine,349.87,546.68,UKR,UKR,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,Colombia,384.22,399.82000000000005,COL,COL,0.0,1.0,0.0,1.0,0.0,0.0,0.0
14,Other countries in Southeast Asia,189.98,182.73000000000002,,,,,,,,,
15,Other countries in Europe,113.95,125.82000000000001,,,,,,,,,
16,Other EU17 countries,62.98,105.64,,,,,,,,,
17,Canada,72.53999999999999,92.97000000000001,CAN,CAN,0.0,1.0,0.0,1.0,0.0,1.0,1.0
18,Mozambique,120.51400000019,91.52000000000001,MOZ,MOZ,0.0,1.0,0.0,0.0,1.0,0.0,0.0
19,Mexico,53.290000000000006,40.629999999999995,MEX,MEX,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20,Iran,36.515382,38.3300000072,IRN,IRN,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,Germany,39.495122397248025,30.94,DEU,DEU,1.0,1.0,0.0,1.0,0.0,1.0,1.0
22,Korea,40.13,18.1,KOR,,,,,,,,
23,United Kingdom,27.630000000000003,14.27,GBR,,,,,,,,
24,Brazil,16.060000000000002,11.799999999999999,BRA,BRA,0.0,1.0,0.0,0.0,0.0,1.0,0.0
25,Japan,11.24,9.49,JPN,JPN,0.0,1.0,1.0,1.0,0.0,1.0,1.0
26,Other EU7 countries,2.1,8.41000000149012,,,,,,,,,
27,New Zealand,6.788169987201691,6.84,NZL,NZL,0.0,1.0,1.0,1.0,0.0,0.0,0.0
28,Uzbekistan,5.68,4.6,UZB,UZB,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,Pakistan,3.18,4.46,PAK,PAK,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30,Thailand,3.91,3.71,THA,THA,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,France,1.06,1.61,FRA,FRA,1.0,1.0,0.0,1.0,0.0,1.0,1.0
32,Philippines,1.28,1.52,PHL,PHL,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33,Romania,8.245175008773803,1.13,ROU,ROU,1.0,1.0,0.0,0.0,0.0,0.0,0.0
34,Bangladesh,0.712000012,0.97000002861023,BGD,BGD,0.0,1.0,1.0,0.0,0.0,0.0,0.0
35,Malaysia,1.58,0.96,MYS,MYS,0.0,1.0,1.0,0.0,0.0,0.0,0.0
36,United Arab Emirates,0.89200001955032,0.8600000143051,ARE,ARE,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37,Egypt,0.5,0.8600000143051,EGY,EGY,0.0,1.0,0.0,0.0,1.0,0.0,0.0
38,Egypt,0.5,0.8600000143051,EGY,EGY,0.0,1.0,0.0,0.0,1.0,0.0,0.0
39,Nigeria,0.0120000001043081,0.65,NGA,NGA,0.0,1.0,0.0,0.0,1.0,0.0,0.0
40,Venezuela,0.420187999010086,0.5100000095,VEN,,,,,,,,
41,Italy,0.444000005722046,0.50999999046,ITA,ITA,1.0,1.0,0.0,1.0,0.0,1.0,1.0
42,Morocco,0.30000001192093,0.30000001192093,MAR,MAR,0.0,1.0,0.0,0.0,1.0,0.0,0.0
43,Kenya,0.2160000056028,0.25,KEN,KEN,0.0,1.0,0.0,0.0,1.0,0.0,0.0
44,Norway,0.2240000069,0.24,NOR,NOR,0.0,1.0,0.0,1.0,0.0,0.0,0.0
45,Netherlands,0.2879999876022,0.24,NLD,NLD,1.0,1.0,0.0,1.0,0.0,0.0,0.0
46,Sweden,0.2039999961853027,0.21,SWE,SWE,1.0,1.0,0.0,1.0,0.0,0.0,0.0
47,Tanzania,0.1800000072,0.20000000298023,TZA,TZA,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,Israel,0.16,0.1700000018,ISR,ISR,0.0,1.0,0.0,1.0,1.0,0.0,0.0
49,Senegal,0.13,0.15000000596046,SEN,SEN,0.0,1.0,0.0,0.0,1.0,0.0,0.0
50,Peru,0.1480000019073,0.140000000596046,PER,PER,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,Denmark,0.1560000032186507,0.13,DNK,DNK,1.0,1.0,0.0,1.0,0.0,0.0,0.0
52,Ethiopia,0.20000000298023,0.10000000149012,ETH,ETH,0.0,1.0,0.0,0.0,1.0,0.0,0.0
53,Botswana,0.084,0.0900000036,BWA,BWA,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,Jordan,0.088,0.0900000036,JOR,JOR,0.0,1.0,0.0,0.0,1.0,0.0,0.0
55,Argentina,0.06,0.06,ARG,ARG,0.0,1.0,0.0,0.0,0.0,1.0,0.0
56,Estonia,0.07199999690056,0.06,EST,EST,1.0,1.0,0.0,1.0,0.0,0.0,0.0
57,Lebanon,0.04800000042,0.050000000745058,LBN,LBN,0.0,1.0,0.0,0.0,1.0,0.0,0.0
58,Slovenia,0.052000001073,0.050000000745058,SVN,SVN,1.0,1.0,0.0,1.0,0.0,0.0,0.0
59,Yemen,0.02800000086,0.03,YEM,YEM,0.0,1.0,0.0,0.0,1.0,0.0,0.0
60,Benin,0.02800000086,0.03,BEN,BEN,0.0,1.0,0.0,0.0,1.0,0.0,0.0
61,Brunei,0.0240000002086,0.02,BRN,BRN,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,Algeria,0.00400000019,0.02,DZA,DZA,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,Syria,,0.0,SYR,SYR,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,Paraguay,,0.0,PRY,PRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Niger,0.00400000019,0.0,NER,NER,0.0,1.0,0.0,0.0,1.0,0.0,0.0
66,Namibia,,0.0,NAM,NAM,0.0,1.0,0.0,0.0,1.0,0.0,0.0
67,Cuba,,0.0,CUB,CUB,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,Uruguay,,0.0,URY,URY,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,Bolivia,0.00400000019,0.0,BOL,,,,,,,,
